created_at,id,updated_at,name,poster_url,quote
NULL,106,NULL,"님아, 그 강을 건너지 마오",http://imgnews.naver.net/image/5278/2015/01/18/369381_73835_5528_99_20150118164129.jpg,"
"
NULL,107,NULL,사일런스,https://dnvefa72aowie.cloudfront.net/origin/article/202207/63825296B75564B6F37CD7601C8D732FA70821A72E2A74B1A347E88F832887E8.jpg?q=95&s=1440x1440&t=inside,"
"
NULL,108,NULL,메모리즈,http://imgnews.naver.net/image/5349/2019/07/11/11266391_20190711094240621.jpg,"
"
NULL,109,NULL,"다섯개의 시선",http://imgnews.naver.net/image/140/2005/12/19/M0010004_five_eyes_p1.jpg,"
"
NULL,110,NULL,비몽(悲夢),http://imgnews.naver.net/image/5026/2008/08/26/2008082650435644.jpg,"
"
NULL,111,NULL,아저씨,https://www.bntnews.co.kr/data/bnt/image/201007/b69dfc800287eaede5d19a29256a2f42.jpg,"금이빨 빼고 모조리 씹어먹어 줄게
"
NULL,112,NULL,"조선명탐정: 각시투구꽃의 비밀",http://imgnews.naver.net/image/5041/2011/01/18/66158_56113_1817.jpg,"
"
NULL,113,NULL,"여자는 남자의 미래다",https://i.namu.wiki/i/ku6wH_ETT_82qmMWLz3r21KSFiUkjtXC7YUjZkVmyUJZPZWJCD67kPz8egy4IwxkwrKJbFfuHFcKFDYLQp9TBA.webp,"
"
NULL,114,NULL,독전,http://imgnews.naver.net/image/5095/2018/05/08/0000429877_001_20180508112606741.jpg,"
"
NULL,115,NULL,앵커,http://imgnews.naver.net/image/311/2022/04/11/0001432882_001_20220411093502875.jpg,"
"
NULL,116,NULL,애자,http://imgnews.naver.net/image/5064/2009/07/22/2009072247022149.jpg,"
"
NULL,117,NULL,"바보들의 행진",https://img1.daumcdn.net/thumb/R1280x0/?fname=http://t1.daumcdn.net/brunch/service/user/2enY/image/KRVQxjNG3lCVih2fv6dllGEajKo.jpg,"
"
NULL,118,NULL,쁘아종,https://i.pinimg.com/736x/ab/3f/ad/ab3fad5f1980cc80651b9edfc63b2d8c.jpg,"
"
NULL,119,NULL,영도,http://shop1.phinf.naver.net/20230504_123/16831872616720ucEz_JPEG/10308000371359803_849294224.jpg,"
"
NULL,120,NULL,"좁은 공간",http://post.phinf.naver.net/MjAyMDAyMDdfODkg/MDAxNTgxMDQ4OTg0NDU0.CCF4cKv89RyA7OK6GV3TDxuIusDO8h70sNwCkbWsMOsg.8wKNx5DFdNLtlECf8H7hHJUsyOkDtma8w4fucrvI6ssg.JPEG/Ij5hIg-Q2dJjnFTK6wutPJgzj54U.jpg,"
"
NULL,121,NULL,"맨발에서 벤츠까지",https://i.namu.wiki/i/UHyEAEA2yqXZBdtdEcoPxNBkm3VaVtm5mGv_--Nf1TTo-fRyQXxkIo9M6IkFi5qTsihoX10op-G4Ltc5NIZbzA.webp,"
"
NULL,122,NULL,"나는 왕이로소이다",http://imgnews.naver.net/image/5095/2012/06/28/114f02f464b84b7ec41351b637b66f14.jpg,"
"
NULL,123,NULL,"아빠를 빌려드립니다",http://imgnews.naver.net/image/312/2014/10/29/2014102913294620599_99_20141029133306.jpg,"
"
NULL,124,NULL,"가벼운 잠",https://img.extmovie.com/files/attach/images/392/148/049/063/0674842fea5776f6528da95c95ace4b6.jpg,"
"
NULL,125,NULL,연풍연가,http://shop1.phinf.naver.net/20200522_234/1590083175235Qx7rT_JPEG/27443913838033968_998644326.JPG,"
"
NULL,126,NULL,준호,http://shop1.phinf.naver.net/20231215_174/1702622362331bp9zi_JPEG/103758204930927787_2039231130.jpg,"
"
NULL,127,NULL,수리남,http://imgnews.naver.net/image/076/2022/09/01/2022090201000070900001281_20220901091003189.jpg,"
"
NULL,128,NULL,"자전차왕 엄복동",https://mania.kr/dvdprime/public_html/g2/data/cheditor5/1901/view_thumbnail/mania-done-20190117090714_zqcxfodn.jpg,"
"
NULL,129,NULL,"내가 죽던 날",http://imgnews.naver.net/image/5415/2020/10/08/0000147299_001_20201008153154867.jpg,"
"
NULL,131,NULL,홀리데이,http://shop1.phinf.naver.net/20240422_147/171376427499548MEO_JPEG/114900117705466861_1855527665.jpg,"
"
NULL,132,NULL,"싸이보그지만 괜찮아",http://imgnews.naver.net/image/5415/2019/04/03/0000102422_001_20190403114608802.jpg,"
"
NULL,133,NULL,야차,https://i2.ruliweb.com/img/22/03/04/17f523a440b352bb.jpg,"
"
NULL,134,NULL,진실,https://img.extmovie.com/files/attach/images/29365178/554/767/052/ae4121cc0cdc573ada5cc7861d3fa183.jpg,"
"
NULL,135,NULL,팔도여군,https://an2-img.amz.wtchn.net/image/v2/y7qv8W9JUpSFoYXBoVYFAw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMnR5ZDJKek5YTnBabkJ6ZVRJMWRtbHRZMk5zSW4wLlVudU9KSm9HQ0Z6SDdsZWZDbURSRGZKdlRjZ0szRVlCVmIzVFpHYk9veDg,"
"
NULL,136,NULL,쫄병수첩,http://imgnews.naver.net/image/117/2017/05/02/201705020833634489_1_20170502084413140.jpg,"
"
NULL,137,NULL,주말동안,http://post.phinf.naver.net/MjAxNzA2MDRfNTUg/MDAxNDk2NTg2MjQ4NDg0.zwOlTILfckQe8RtDg8b6yPEFN5rAcihd-ozVCMtkKGQg.IR3IgOyxCzB7h46O5ZvlKFOC7-h7GqHxPKaDsIIw4dIg.JPEG/ICQUG0umMZAUjUCATLzE32ySDGlM.jpg,"
"
NULL,138,NULL,럭키,https://i.namu.wiki/i/ray32s4hfmmWfFMEysppHZIAg9XMwUG3ZqRf-ItnhfZTDyi6ptJIHNrOC2M61Pz1c64Wjxs3lxx_JBD3UfWRgA.webp,"
"
NULL,139,NULL,커터,http://imgnews.naver.net/image/5033/2016/02/11/201602111359059610_1_99_20160211140509.jpg,"
"
NULL,140,NULL,"누가 소현씨를 울렸나",http://imgnews.naver.net/image/5308/2018/02/01/0000042195_002_20180201104350973.jpg,"
"
NULL,141,NULL,"마이 뉴 파트너",http://imgnews.naver.net/image/075/2008/02/19/200802191326211.jpg,"
"
NULL,142,NULL,민며느리,https://misc.ridibooks.com/cover/120007774/xxlarge,"
"
NULL,143,NULL,새벽,http://imgnews.naver.net/image/5415/2024/08/27/0000221669_001_20240827160212986.png,"
"
NULL,144,NULL,감시자들,https://i.namu.wiki/i/U799vJqbRShyYj2mjyWe6Imnn9iq-K_TCght8_YqGiNH48WE3MHuzxhJSka5EXihUGiY9gR_L4zesqOqI5YMNw.webp,"
"
NULL,145,NULL,다우더,http://imgnews.naver.net/image/014/2014/10/04/201410042007590733_99_20141004200936.jpg,"
"
NULL,146,NULL,어화(漁火),http://imgnews.naver.net/image/468/2022/06/09/0000823012_001_20220609180705266.jpg,"
"
NULL,147,NULL,"아름다운 시절",https://image.aladin.co.kr/product/27765/38/cover500/scm216132362446.jpg,"
"
NULL,148,NULL,극한직업,https://i.namu.wiki/i/dwTRlvWk7h3mt5A_slcSDQDthHnhwZe9FcbzfWlta1bnAVASukUGi34qyVrlTsqWefryyb7b6G0Ug18LBEDH3w.webp,"지금까지 이런 맛은 없었다. 이것은 갈비인가, 통닭인가? 네, 수원 왕갈비 통닭입니다."
NULL,149,NULL,"정직한 후보",https://i.namu.wiki/i/VoZ826ZstmzDF6BKZWhDXTGr83E65RJ7Q6TpJe4wk3BuDN0ZKaVdR9gp01i_Mb2Ut1Rj4JbIG-vPIPgoF49jTw.webp,"
"
NULL,150,NULL,"지푸라기라도 잡고 싶은 짐승들",http://imgnews.naver.net/image/5617/2020/02/19/0000092237_001_20200219175435137.jpg,"
"
NULL,151,NULL,국가대표,https://i.pinimg.com/originals/ab/ed/ca/abedcaf07748bc2bf4be0afe9d962126.png,"
"
NULL,152,NULL,"말죽거리 잔혹사",https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20231127/1755/M000289233.jpg/dims/resize/480,"
"
NULL,153,NULL,"뜨거운 피",http://imgnews.naver.net/image/5025/2022/02/14/0000527960_001_20220214135833052.jpg,"
"
NULL,154,NULL,노다지,http://image.kyobobook.co.kr/images/book/xlarge/204/x4801188435204.jpg,"
"
NULL,155,NULL,공범,http://shop1.phinf.naver.net/20230404_61/1680597157940unXVY_JPEG/81733000567041849_1263444501.JPG,"
"
NULL,156,NULL,콜,http://imgnews.naver.net/image/108/2020/11/09/0002908064_001_20201109100045270.jpg,"
"
NULL,157,NULL,"마이 블랙 미니드레스","https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20231127/1753/M000282433.jpg/dims/resize/F_webp,480",
NULL,158,NULL,밀정,http://imgnews.naver.net/image/421/2016/08/05/2065220_article_99_20160805084008.jpg,"
"
NULL,159,NULL,"은행나무 침대",https://photos.hancinema.net/photos/fullsizephoto1110297.jpg,"
"
NULL,160,NULL,"봉오동 전투",http://imgnews.naver.net/image/477/2019/06/19/0000190381_002_20190619101031285.jpg,"
"
